city_id,country,state,city,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52
2823,United States Of America,Minnesota,Saint Paul,92,48,24,4,20,16,16,16,4,12,80,8,8,9600,6712,820,6604,4340,408,172,924,552,52,160,208,188,388,544,131296,NA,380,80,28,68,28,16,16,16,8,108,268,100,732,416,60,24,28,1544,4,264,52,904
2569,Spain,Galicia,Vigo,54,30,9,3,9,6,15,6,3,3,24,6,3,3444,2532,321,2286,1650,234,126,1116,336,30,36,318,135,339,399,90336,3,153,48,21,18,9,6,12,3,6,48,99,54,198,147,27,9,18,1449,NA,180,18,237
2267,Colombia,Quindio,Armenia,8,8,2,1,1,NA,2,1,NA,NA,13,1,NA,496,292,71,370,206,52,14,314,144,4,7,46,31,69,56,12782,1,26,5,2,5,3,2,2,1,1,8,8,5,40,28,5,2,1,666,NA,30,1,31
2416,Korea (Republic Of),Jeollanam-Do,Yeosu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2671,Canada,Ontario,Oshawa,22,16,10,2,4,6,10,4,2,4,24,2,NA,3466,2536,348,2648,1982,266,82,826,232,10,32,88,72,156,166,33306,NA,162,36,16,24,10,6,6,2,2,36,72,40,308,146,16,6,10,848,NA,68,16,108
229,Turkey,Kocaeli,Gebze,5,3,4,NA,1,NA,1,NA,NA,NA,24,NA,NA,260,211,9,186,161,28,2,80,30,1,1,11,8,6,15,2911,NA,5,NA,NA,3,NA,1,NA,NA,1,1,NA,2,12,10,NA,NA,NA,NA,NA,NA,NA,24
83,Romania,Galaţi,Galaţi,20,10,8,NA,6,1,8,NA,NA,NA,16,3,NA,1421,893,585,947,603,352,41,949,245,24,52,138,81,157,199,62368,3,43,14,8,16,5,8,7,2,6,11,38,31,NA,54,8,6,2,548,NA,74,8,118
1992,Ukraine,Chernihivs'ka Oblast,Chernigov,2,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,254,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,49,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,El Salvador,San Salvador Department,San Salvador,60,24,9,6,6,6,15,6,6,3,54,6,3,4287,2367,297,2439,1521,288,78,954,384,15,33,177,120,372,273,69000,3,84,81,18,27,12,12,18,6,3,30,66,30,135,183,27,15,6,2124,NA,186,9,114
1201,Malaysia,Negeri Sembilan,Seremban,3,4,2,1,1,NA,5,2,NA,2,14,NA,NA,418,283,44,NA,NA,NA,25,332,NA,4,5,NA,NA,NA,NA,31200,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,5,19,8,NA,26,8,2,2,NA,NA,26,4,15
1092,Ukraine,Poltavs'ka Oblast,Poltava,3,2,1,NA,NA,NA,2,NA,NA,NA,3,NA,NA,209,151,27,257,115,17,3,144,37,3,NA,NA,21,122,39,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,29,NA,NA,NA,NA,NA,8,NA,6
2092,Chile,Valparaiso Region,Viña Del Mar,48,18,6,3,9,3,15,3,NA,3,18,6,NA,2430,1440,219,1497,1023,150,39,645,222,24,24,144,93,231,282,43326,3,90,30,9,33,18,12,12,3,6,33,93,36,96,135,21,12,9,2127,NA,114,12,123
2787,Netherlands,Utrecht,Utrecht,66,42,18,3,15,9,24,9,3,6,30,9,3,6558,6111,726,4614,3729,711,84,1548,543,21,51,327,171,375,489,96879,6,429,84,12,42,12,9,12,3,9,87,195,84,255,240,42,12,18,1587,NA,117,36,141
1124,Costa Rica,San Jose,San Jose,60,36,16,8,12,8,24,12,12,8,80,12,4,4836,2996,336,3808,2252,272,140,1820,640,40,20,224,196,528,344,121864,4,168,60,28,76,40,24,36,12,12,92,140,56,124,304,44,20,8,2348,NA,284,20,364
1808,India,Maharashtra,Ichalkaranji,2,2,2,NA,NA,NA,3,1,NA,1,4,NA,NA,179,509,113,197,156,35,11,313,100,4,NA,24,23,20,17,12176,NA,5,NA,2,3,NA,1,3,NA,NA,2,6,3,NA,9,2,2,1,NA,NA,10,2,NA
